                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2416,                 2.5217,                 1.6524,                0.00383,                0.97872,                   0.41,                0.19437,                  1.202,                 3.4541,                 1.9893,                0.00016,                0.00016,                0.00016
                      2,                 1.1574,                 2.0747,                 1.6131,                0.00392,                      1,                0.32136,                 0.1392,                 1.6102,                 3.6463,                 2.2725,             0.00033327,             0.00033327,             0.00033327
                      3,                 1.1308,                 1.8318,                 1.5559,                0.11375,                0.59574,                 0.3816,                0.20544,                 1.4546,                 3.4502,                 2.1761,             0.00049941,             0.00049941,             0.00049941
                      4,                 1.2008,                  1.927,                 1.6246,                0.00367,                0.93617,                0.37156,                0.15789,                 2.0856,                 3.6889,                  2.677,             0.00065842,             0.00065842,             0.00065842
                      5,                 1.3055,                 1.9109,                 1.6957,                0.00142,                 0.3617,                0.04754,                0.01908,                 3.3335,                 4.8369,                 4.1153,              0.0008103,              0.0008103,              0.0008103
                      6,                 1.2436,                 1.7515,                 1.6001,                0.14181,                0.17021,                0.04988,                0.01251,                 2.8175,                 4.8218,                 3.5308,             0.00095506,             0.00095506,             0.00095506
                      7,                 1.2776,                 1.7043,                 1.6333,                0.37134,                0.31915,                0.18709,                0.06734,                 2.0403,                 3.8271,                 2.8308,              0.0010927,              0.0010927,              0.0010927
                      8,                  1.314,                 1.7281,                  1.642,                0.23631,                0.38186,                 0.1636,                0.06714,                 1.8061,                 3.3529,                 2.9656,              0.0012232,              0.0012232,              0.0012232
                      9,                 1.2633,                 1.7345,                 1.6481,                0.19961,                0.34043,                0.18424,                0.05492,                 2.6866,                 3.8996,                 4.2275,              0.0013466,              0.0013466,              0.0013466
                     10,                 1.3902,                 1.7184,                 1.7199,                 0.2705,                0.19149,                0.14848,                 0.0472,                 3.3506,                 3.7735,                  4.323,              0.0014628,              0.0014628,              0.0014628
                     11,                 1.4179,                 1.7007,                 1.7416,                0.22583,                0.21277,                0.13038,                0.06063,                 3.0596,                 3.7529,                 3.6591,              0.0015719,              0.0015719,              0.0015719
                     12,                 1.4126,                 1.7614,                 1.7315,                0.32774,                0.42553,                0.32639,                0.14994,                 2.3412,                 3.4084,                 2.9684,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.4031,                  1.752,                 1.7295,                0.36454,                0.51064,                0.41641,                 0.2019,                  2.009,                 2.9758,                 2.8864,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.3133,                 1.6761,                 1.6719,                0.30354,                0.53191,                0.34931,                 0.1539,                 2.0645,                 2.9749,                 3.0942,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.3337,                 1.6917,                 1.6668,                0.57562,                0.31915,                0.38866,                0.12047,                 2.2861,                 3.1012,                 3.3357,              0.0014852,              0.0014852,              0.0014852
